step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0,0,0,0,0,0,0,1,0,0,,,
5,0,0,0,4.452773077,0,0,0.292267593,0,0,FALSE,,
10,1,0,0,8.760061841,1,0,0.590648368,1,0,FALSE,,
15,0,0,0,10.49380892,0,0,0.706018212,0,0,FALSE,,
20,0,0,0,11.26719924,0,0,0.765159065,0,0,FALSE,,
25,2,0,0,9.817077207,2,0,0.683529796,2,0,FALSE,,
30,1,5,0.263157895,10.01687934,1,5,0.702515086,1,5,FALSE,,
35,4,17,0.739130435,7.873462514,4,17,0.571767101,4,17,FALSE,,
40,7,36,1.285714286,7.633899407,7,26,0.576339022,7,26,FALSE,,
45,6,37,1.233333333,7.70830998,6,44,0.558043609,6,44,FALSE,,
50,6,63,1.852941176,7.693182141,6,73,0.552921763,6,73,FALSE,,
55,9,95,2.435897436,8.030611294,9,92,0.542108567,9,92,FALSE,,
60,7,111,2.707317073,8.234714021,7,117,0.552219257,7,117,FALSE,,
65,12,156,3.391304348,7.609450466,12,158,0.49929539,12,158,FALSE,,
70,15,211,4.22,7.21395866,15,215,0.484262411,15,215,FALSE,,
75,11,260,5,7.501402663,11,264,0.528159357,11,264,FALSE,,
80,16,307,5.385964912,6.95679138,16,313,0.47158567,16,313,FALSE,,
85,15,364,5.967213115,7.332214829,15,381,0.460666217,15,381,FALSE,,
90,17,430,6.71875,7.500324059,17,434,0.479254186,17,434,FALSE,,
95,14,346,5.242424242,7.300893355,14,480,0.478800465,14,480,FALSE,,
100,10,29,0.408450704,7.567694769,10,485,0.472701603,10,485,FALSE,,
105,16,76,1.055555556,7.814824791,16,537,0.520834097,16,537,FALSE,,
110,13,100,1.315789474,7.544301424,13,526,0.502008831,13,526,FALSE,,
115,13,106,1.358974359,7.723159407,13,504,0.525129382,13,504,FALSE,,
120,8,65,0.802469136,9.24233891,8,397,0.620566262,8,397,FALSE,,
125,8,105,1.25,9.218972536,8,378,0.612759865,8,378,FALSE,,
130,14,96,1.078651685,9.173105016,14,339,0.602602055,14,339,FALSE,,
135,12,116,1.288888889,8.889120744,12,335,0.582827928,12,335,FALSE,,
140,16,127,1.411111111,8.551291437,16,412,0.553802186,16,412,FALSE,,
145,17,167,1.835164835,7.912066587,17,446,0.500619029,17,446,FALSE,,
150,18,244,2.681318681,8.134857415,18,531,0.517387422,18,531,FALSE,,
155,19,303,3.12371134,8.173568715,19,592,0.491155781,19,592,FALSE,,
160,24,396,4,8.307316637,24,647,0.491808909,24,647,FALSE,,
