step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0,0,0,0,0,0,0,1,0,0,,,
5,0,0,0,3.812273053,0,0,0.259058293,0,0,FALSE,,
10,1,0,0,8.453183126,1,0,0.589629635,1,0,FALSE,,
15,0,0,0,9.812546753,0,0,0.696180437,0,0,FALSE,,
20,0,0,0,10.52818257,0,0,0.758882119,0,0,FALSE,,
25,2,0,0,10.20870049,2,0,0.745101099,2,0,FALSE,,
30,1,2,0.105263158,9.347663848,1,2,0.691950381,1,2,FALSE,,
35,2,12,0.52173913,8.715152012,2,12,0.639032688,2,12,FALSE,,
40,7,25,0.892857143,7.420644233,7,18,0.550073701,7,18,FALSE,,
45,6,35,1.166666667,7.82650414,6,42,0.568102887,6,42,FALSE,,
50,8,64,1.882352941,7.684856309,8,74,0.543637897,8,74,FALSE,,
55,8,81,2.076923077,7.620655142,8,88,0.519594453,8,88,FALSE,,
60,9,102,2.428571429,7.82661413,9,107,0.566599058,9,107,FALSE,,
65,8,130,2.826086957,8.011958731,8,143,0.548757399,8,143,FALSE,,
70,13,178,3.56,7.989788278,13,189,0.56358697,13,189,FALSE,,
75,8,186,3.576923077,7.607993973,8,203,0.541395504,8,203,FALSE,,
80,11,232,4.070175439,7.398907233,11,250,0.49635481,11,250,FALSE,,
85,11,282,4.7,8.103738591,11,291,0.537354402,11,291,FALSE,,
90,11,323,5.046875,8.104379442,11,324,0.541692723,11,324,FALSE,,
95,13,377,5.544117647,7.989493993,13,386,0.525035107,13,386,FALSE,,
100,15,441,6.485294118,7.328377669,15,456,0.505895928,15,456,FALSE,,
105,16,506,7.126760563,6.934967753,16,526,0.463113954,16,526,FALSE,,
110,20,577,7.493506494,6.948553858,20,613,0.465889993,20,613,FALSE,,
115,18,653,8.265822785,7.499168779,18,691,0.490928801,18,691,FALSE,,
120,18,728,8.87804878,7.669758701,18,774,0.490827984,18,774,FALSE,,
125,22,823,9.797619048,7.529464239,22,865,0.457768057,22,865,FALSE,,
130,19,603,6.931034483,7.308558799,19,809,0.480778936,19,809,FALSE,,
135,15,177,1.988764045,7.430321452,15,791,0.476045125,15,791,FALSE,,
140,17,225,2.5,7.595340327,17,782,0.494065013,17,782,FALSE,,
145,24,292,3.244444444,7.537860539,24,864,0.46928055,24,864,FALSE,,
150,24,383,4.163043478,6.900759371,24,974,0.428748616,24,974,FALSE,,
155,30,473,4.826530612,6.804909994,30,1082,0.373612394,30,1082,FALSE,,
160,24,501,5.060606061,7.16858578,24,1142,0.431426406,24,1142,FALSE,,
165,29,628,6.28,7.121498517,29,1271,0.424303076,29,1271,FALSE,,
170,35,782,7.898989899,6.896060766,35,1352,0.405305576,35,1352,FALSE,,
175,29,840,8.571428571,6.748790817,29,1473,0.410913378,29,1473,FALSE,,
180,32,951,9.51,6.675520177,32,1557,0.440044276,32,1557,FALSE,,
185,30,1015,9.854368932,7.037541584,30,1630,0.432539959,30,1630,FALSE,,
190,30,1153,11.19417476,6.951519231,30,1771,0.448662302,30,1771,FALSE,,
195,32,1296,12.22641509,7.010668411,32,1914,0.438871542,32,1914,FALSE,,
200,30,1423,13.17592593,7.365555263,30,2062,0.454133413,30,2062,FALSE,,
205,36,1578,14.47706422,7.005435077,36,2219,0.425053215,36,2219,FALSE,,
210,30,1390,12.41071429,6.96168273,30,1984,0.435706759,30,1984,FALSE,,
215,17,649,5.846846847,7.458103919,17,1961,0.486874036,17,1961,FALSE,,
220,15,238,2.203703704,7.081564972,15,1880,0.449253177,15,1880,FALSE,,
225,22,320,2.935779817,7.158513722,22,1910,0.418553404,22,1910,FALSE,,
230,29,430,3.909090909,6.914746473,29,2027,0.396811219,29,2027,FALSE,,
235,30,347,3.07079646,7.111518631,30,1967,0.408343031,30,1967,FALSE,,
240,28,455,3.922413793,7.499092388,28,2023,0.409356234,28,2023,FALSE,,
245,30,540,4.909090909,6.834848167,30,2103,0.36768901,30,2103,FALSE,,
250,28,576,5.333333333,7.076119415,28,2058,0.400711541,28,2058,FALSE,,
255,20,514,4.849056604,7.188084448,20,2140,0.409805837,20,2140,FALSE,,
260,20,591,5.737864078,7.488107692,20,2091,0.4653996,20,2091,FALSE,,
265,26,702,6.685714286,7.657342402,26,2178,0.480405601,26,2178,FALSE,,
270,27,829,7.895238095,7.341705297,27,2301,0.46946169,27,2301,FALSE,,
275,21,790,7.523809524,6.627772734,21,2222,0.435682197,21,2222,FALSE,,
280,27,837,7.75,6.507788665,27,2341,0.416489567,27,2341,FALSE,,
285,32,951,8.887850467,6.344515081,32,2481,0.407702087,32,2481,FALSE,,
290,26,1013,9.209090909,6.824175485,26,2416,0.423607534,26,2416,FALSE,,
295,28,1027,9.169642857,6.556786964,28,2511,0.414125116,28,2511,FALSE,,
300,34,1131,10.00884956,6.318251958,34,2634,0.377848343,34,2634,FALSE,,
305,33,1242,10.99115044,6.305000868,33,2788,0.377700205,33,2788,FALSE,,
310,32,1297,11.47787611,6.17573516,32,2847,0.390287179,32,2847,FALSE,,
315,38,1415,12.52212389,6.355561443,38,2985,0.376314931,38,2985,FALSE,,
320,29,1521,13.11206897,6.807576237,29,3092,0.403955634,29,3092,FALSE,,
325,25,1320,11,7.405694245,25,2978,0.430250739,25,2978,FALSE,,
330,28,1235,10.29166667,7.46976007,28,3076,0.414605191,28,3076,FALSE,,
335,32,1196,10.22222222,6.884956703,32,2726,0.39604976,32,2726,FALSE,,
340,23,520,4.333333333,7.386946283,22,2549,0.427089667,22,2549,FALSE,,
345,19,284,2.469565217,7.165511678,19,2538,0.407434577,19,2538,FALSE,,
350,24,198,1.706896552,6.997453344,24,2572,0.392964766,24,2572,FALSE,,
355,28,248,2.066666667,6.913724106,28,2691,0.389479647,28,2691,FALSE,,
360,31,332,2.938053097,6.685142982,31,2795,0.383538116,31,2795,FALSE,,
365,32,422,3.871559633,5.898096647,32,2875,0.346678956,32,2875,FALSE,,
370,33,456,4.108108108,6.093800563,33,2789,0.362315264,33,2789,FALSE,,
375,31,430,3.805309735,6.41407105,31,2887,0.398840743,31,2887,FALSE,,
380,20,375,3.318584071,6.851633262,20,2781,0.422130385,20,2781,FALSE,,
385,25,486,4.226086957,6.617655455,25,2894,0.405701344,25,2894,FALSE,,
390,34,636,5.578947368,6.333742692,34,3036,0.380850996,34,3036,FALSE,,
395,37,626,5.396551724,6.307147018,37,3061,0.371260227,37,3061,FALSE,,
400,41,803,6.805084746,5.817450817,41,3230,0.349931387,41,3230,FALSE,,
405,37,933,7.840336134,6.508106736,37,3375,0.381871475,37,3375,FALSE,,
410,40,1094,9.271186441,6.236261786,40,3547,0.360069225,40,3547,FALSE,,
415,43,1150,9.745762712,5.894603948,43,3545,0.315390233,43,3545,FALSE,,
420,32,1100,9.166666667,6.264402844,32,3704,0.319298379,32,3704,FALSE,,
425,38,1275,10.80508475,5.981346795,38,3884,0.304203902,38,3884,FALSE,,
430,43,1423,12.59292035,5.197213888,43,4017,0.244867154,43,4017,FALSE,,
435,38,1557,13.90178571,5.567907686,38,3782,0.297844199,38,3782,FALSE,,
440,26,1032,9.214285714,5.392379861,26,3771,0.308193629,26,3771,FALSE,,
445,32,612,5.513513514,5.556166282,32,3893,0.322168956,32,3893,FALSE,,
450,36,472,4.214285714,5.543325021,36,4029,0.32502375,36,4029,FALSE,,
455,36,553,5.027272727,5.038858661,36,4166,0.287753629,36,4166,FALSE,,
460,41,691,6.061403509,5.149380595,41,4030,0.283124524,41,4030,FALSE,,
465,38,724,6.350877193,5.647544196,38,4202,0.336556174,38,4202,FALSE,,
470,36,808,6.847457627,5.616193011,36,4362,0.311976271,36,4362,FALSE,,
475,42,904,7.533333333,5.00091762,42,4477,0.287135286,42,4477,FALSE,,
480,38,1010,8.559322034,5.682892521,38,4397,0.332356742,38,4397,FALSE,,
485,34,1093,8.959016393,5.605587365,34,4518,0.34448905,34,4518,FALSE,,
490,39,1257,10.13709677,5.996891145,39,4686,0.357527038,39,4686,FALSE,,
495,45,1418,11.25396825,5.589101389,45,4809,0.329756573,45,4809,FALSE,,
500,42,1241,9.771653543,5.625579495,42,4584,0.327665914,42,4584,FALSE,,
505,34,843,6.534883721,5.948494217,34,4457,0.338167067,34,4457,FALSE,,
510,33,503,3.960629921,5.999107033,33,4388,0.340623267,33,4388,FALSE,,
515,35,362,2.80620155,5.419821013,35,4557,0.315825456,35,4557,FALSE,,
520,39,447,3.438461538,5.653690702,39,4590,0.337189939,39,4590,FALSE,,
525,48,627,4.976190476,5.409448775,48,4590,0.321833432,48,4590,FALSE,,
530,40,700,5.426356589,5.408681098,40,4626,0.321681,40,4626,FALSE,,
535,40,646,4.857142857,5.54586859,40,4796,0.321993958,40,4796,FALSE,,
540,38,696,5.4375,5.302671064,38,4930,0.306148086,38,4930,FALSE,,
545,48,815,6.317829457,5.405159288,48,5058,0.30681217,48,5058,FALSE,,
550,46,956,7.187969925,5.585382482,46,5119,0.306039062,46,5119,FALSE,,
555,40,1078,8.229007634,5.335835517,40,5259,0.291937033,40,5259,FALSE,,
560,42,1078,8.292307692,5.438242116,42,4972,0.304158005,42,4972,FALSE,,
565,44,627,4.823076923,5.29468656,44,4992,0.294150332,44,4992,FALSE,,
570,38,572,4.4,5.298318292,38,4711,0.291073579,38,4711,FALSE,,
