step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0,0,0,0,0,0,0,1,0,0,,,
10,0,0,0,8.808249462,0,0,0.604861698,0,0,FALSE,,
20,1,0,0,10.5789299,1,0,0.743637704,1,0,FALSE,,
30,2,0,0,10.85544223,2,0,0.799403277,2,0,FALSE,,
40,2,0,0,11.20633427,2,0,0.806049879,2,0,FALSE,,
50,0,0,0,11.20285418,0,0,0.839248691,0,0,FALSE,,
60,3,2,0.030769231,10.96922652,2,0,0.82153344,2,0,FALSE,,
70,2,0,0,10.36061156,2,6,0.768880322,2,6,FALSE,,
80,0,0,0,10.55543755,0,11,0.782333964,0,11,FALSE,,
90,1,4,0.043956044,10.66130662,1,12,0.784182556,1,12,FALSE,,
100,4,1,0.01,9.689739994,3,5,0.717328992,3,5,FALSE,,
110,1,1,0.009433962,10.84862689,0,20,0.787333032,0,20,FALSE,,
120,2,3,0.027272727,10.45396145,2,14,0.729231609,2,14,FALSE,,
130,1,0,0,10.42342678,1,7,0.742390496,1,7,FALSE,,
140,4,8,0.071428571,10.33429748,3,14,0.73602095,3,14,FALSE,,
150,3,5,0.044247788,9.846030209,1,21,0.716416433,1,21,FALSE,,
160,3,3,0.027522936,10.05167248,2,20,0.73369953,2,20,FALSE,,
170,5,3,0.026086957,8.86729676,4,26,0.619476221,4,26,FALSE,,
180,6,25,0.213675214,8.43708415,2,29,0.602808345,2,29,FALSE,,
190,3,3,0.024793388,9.700316138,2,52,0.670404667,2,52,FALSE,,
200,3,2,0.016666667,8.864079352,2,32,0.629918392,2,32,FALSE,,
210,4,27,0.228813559,9.531905455,4,59,0.650953913,4,59,FALSE,,
220,4,4,0.033057851,10.30118271,4,56,0.700158061,4,56,FALSE,,
230,6,5,0.040650407,10.2281817,5,33,0.688362027,5,33,FALSE,,
240,4,6,0.050420168,10.12931731,2,18,0.688833754,2,18,FALSE,,
250,5,8,0.07079646,9.591108008,4,24,0.620523677,4,24,FALSE,,
260,4,16,0.148148148,9.104972476,3,34,0.609271033,3,34,FALSE,,
270,4,7,0.063636364,9.301281664,2,32,0.631105985,2,32,FALSE,,
280,6,19,0.166666667,9.65658794,3,36,0.665438573,3,36,FALSE,,
290,8,30,0.25862069,9.518109904,8,64,0.649094749,8,64,FALSE,,
300,6,31,0.279279279,9.445477985,6,72,0.670920232,6,72,FALSE,,
310,5,5,0.042735043,9.526472288,4,36,0.685625109,4,36,FALSE,,
320,1,0,0,9.887869449,1,28,0.700724307,1,28,FALSE,,
330,2,2,0.016129032,9.424808643,1,17,0.661912757,1,17,FALSE,,
340,5,5,0.0390625,9.60659375,3,17,0.713033053,3,17,FALSE,,
350,2,3,0.023255814,9.520164143,1,43,0.680048018,1,43,FALSE,,
360,7,33,0.244444444,8.574888735,7,88,0.57101808,7,88,FALSE,,
370,6,39,0.302325581,9.131368918,6,80,0.630356693,6,80,FALSE,,
380,8,21,0.155555556,9.128053517,5,74,0.627215547,5,74,FALSE,,
390,5,16,0.119402985,8.396102891,5,101,0.564105736,5,101,FALSE,,
400,6,10,0.07518797,8.50786853,6,75,0.576019478,6,75,FALSE,,
410,11,86,0.627737226,8.76912005,11,118,0.57258419,11,118,FALSE,,
420,5,7,0.050359712,9.185670924,5,112,0.63265533,5,112,FALSE,,
430,6,13,0.097014925,8.769052481,6,143,0.562625574,6,143,FALSE,,
440,8,25,0.187969925,8.675734763,7,145,0.592399943,7,145,FALSE,,
450,4,6,0.046511628,8.588892438,3,127,0.58382371,3,127,FALSE,,
460,16,57,0.422222222,8.085652019,14,172,0.523935968,14,172,FALSE,,
470,11,26,0.18705036,8.451069591,11,197,0.562515262,11,197,FALSE,,
480,8,26,0.189781022,7.908336607,8,212,0.512931517,8,212,FALSE,,
490,11,36,0.264705882,7.984712342,9,191,0.542372651,9,191,FALSE,,
500,13,31,0.224637681,7.833636865,13,253,0.509188133,13,253,FALSE,,
510,5,10,0.070921986,8.655733968,4,164,0.588762422,4,164,FALSE,,
520,6,16,0.114285714,8.843276077,5,167,0.592429448,5,167,FALSE,,
530,15,48,0.338028169,8.550610223,15,167,0.562337207,15,167,FALSE,,
540,11,65,0.477941176,7.8172059,9,198,0.522598065,9,198,FALSE,,
550,11,69,0.503649635,7.456817548,11,232,0.475559723,11,232,FALSE,,
