step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0,0,0,0,0,0,0,1,0,0,,,
5,1,0,0,4.006706578,1,0,0.302079191,1,0,FALSE,,
10,0,0,0,8.470427939,0,0,0.622958616,0,0,FALSE,,
15,1,0,0,9.299727899,1,0,0.669778132,1,0,FALSE,,
20,1,0,0,10.16432555,1,0,0.737638938,1,0,FALSE,,
25,2,0,0,10.3213381,2,0,0.749802388,2,0,FALSE,,
30,2,1,0.033333333,9.270466628,2,1,0.667503202,2,1,FALSE,,
35,3,9,0.25,8.798642754,3,10,0.662728867,3,10,FALSE,,
40,3,10,0.23255814,9.656605036,3,19,0.715073812,3,19,FALSE,,
45,4,6,0.12244898,9.199831448,4,39,0.675149207,4,39,FALSE,,
50,7,14,0.264150943,9.184562784,7,46,0.646730704,7,46,FALSE,,
55,13,64,1.084745763,8.053198537,13,89,0.576026888,13,89,FALSE,,
60,12,98,1.507692308,7.991039891,12,131,0.583520461,12,131,FALSE,,
65,11,105,1.478873239,7.947034943,11,151,0.579381143,11,151,FALSE,,
70,11,123,1.618421053,8.002595406,11,180,0.560784455,11,180,FALSE,,
75,14,181,2.2625,8.580233304,14,245,0.579549647,14,245,FALSE,,
80,16,232,2.697674419,7.822982677,16,292,0.528327551,16,292,FALSE,,
85,18,282,3.032258065,7.843058268,18,356,0.507145715,18,356,FALSE,,
90,23,374,3.978723404,7.809128361,23,433,0.523191783,23,433,FALSE,,
95,25,466,4.707070707,7.296801483,25,534,0.478387576,25,534,FALSE,,
100,31,584,5.509433962,7.400173887,31,649,0.475547627,31,649,FALSE,,
105,32,733,6.724770642,8.131404121,32,798,0.521785093,32,798,FALSE,,
110,32,848,7.779816514,7.128945916,32,918,0.477922503,32,918,FALSE,,
115,29,943,8.271929825,7.200171685,29,1043,0.4661789,29,1043,FALSE,,
120,35,1016,8.834782609,6.686524334,35,1159,0.427960265,35,1159,FALSE,,
125,38,1094,9.116666667,6.812983876,38,1313,0.420553717,38,1313,FALSE,,
130,42,1198,9.819672131,6.612920295,42,1408,0.405252419,42,1408,FALSE,,
