step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0,0,0,0,0,0,0,1,0,0,,,
5,1,0,0,4.347379326,1,0,0.307677934,1,0,FALSE,,
10,0,0,0,9.799100966,0,0,0.694476657,0,0,FALSE,,
15,0,0,0,11.10073038,0,0,0.794907541,0,0,FALSE,,
20,1,0,0,10.5725855,1,0,0.76601751,1,0,FALSE,,
25,1,0,0,11.09595336,1,0,0.797787889,1,0,FALSE,,
30,1,0,0,10.7770432,1,0,0.77412974,1,0,FALSE,,
35,0,0,0,10.88666853,0,0,0.781934225,0,0,FALSE,,
40,3,0,0,10.12664961,3,0,0.722897293,3,0,FALSE,,
45,1,0,0,11.05879597,1,0,0.793572426,1,0,FALSE,,
50,1,0,0,11.06794981,1,0,0.813473312,1,0,FALSE,,
55,3,2,0.04,10.09581961,2,0,0.755758043,2,0,FALSE,,
60,1,1,0.02,10.62384028,0,2,0.80430802,0,2,FALSE,,
65,1,0,0,10.25319843,1,3,0.747324488,1,3,FALSE,,
70,0,0,0,11.29763897,0,3,0.820288712,0,3,FALSE,,
75,0,0,0,11.86376828,0,3,0.867040959,0,3,FALSE,,
80,2,0,0,11.60062959,2,0,0.814883348,2,0,FALSE,,
85,2,0,0,10.49458474,2,0,0.739589341,2,0,FALSE,,
90,2,0,0,11.3424697,2,2,0.806182761,2,2,FALSE,,
95,2,2,0.035714286,11.33850632,1,3,0.827038299,1,3,FALSE,,
100,1,0,0,11.48828637,1,6,0.817568519,1,6,FALSE,,
105,1,0,0,11.36393758,1,3,0.808042771,1,3,FALSE,,
110,2,0,0,10.55773295,2,4,0.753946687,2,4,FALSE,,
115,1,0,0,11.03029339,1,1,0.777431811,1,1,FALSE,,
120,2,2,0.04,11.66285784,2,2,0.808105733,2,2,FALSE,,
125,1,0,0,11.64494678,1,3,0.772307356,1,3,FALSE,,
130,3,0,0,10.93522845,3,0,0.710620512,3,0,FALSE,,
135,0,0,0,11.19370816,0,0,0.785420199,0,0,FALSE,,
140,1,0,0,10.92932859,1,2,0.809560183,1,2,FALSE,,
145,2,1,0.018181818,10.89446514,2,3,0.781423257,2,3,FALSE,,
150,2,0,0,10.11529526,2,2,0.707374677,2,2,FALSE,,
155,2,0,0,11.38463939,2,3,0.780412613,2,3,FALSE,,
160,0,0,0,11.11012122,0,1,0.802047499,0,1,FALSE,,
165,2,2,0.033333333,11.57961638,1,2,0.839907403,1,2,FALSE,,
170,3,5,0.083333333,10.37688592,3,8,0.728457367,3,8,FALSE,,
175,6,13,0.2,9.905107955,6,22,0.69243695,6,22,FALSE,,
180,2,7,0.107692308,10.54084925,2,16,0.751138653,2,16,FALSE,,
185,1,0,0,11.01063753,1,2,0.831972173,1,2,FALSE,,
190,1,1,0.015873016,10.82047203,1,9,0.797904419,1,9,FALSE,,
195,4,9,0.128571429,9.970656729,2,10,0.749653687,2,10,FALSE,,
200,2,4,0.056338028,10.04250187,2,15,0.71091617,2,15,FALSE,,
205,1,4,0.055555556,11.26009379,1,17,0.805348244,1,17,FALSE,,
210,3,9,0.132352941,11.10613392,3,22,0.758230082,3,22,FALSE,,
215,1,0,0,11.15677869,1,0,0.808407467,1,0,FALSE,,
220,1,0,0,11.39497878,1,5,0.822053618,1,5,FALSE,,
225,2,2,0.037037037,11.32012987,0,5,0.83408061,0,5,FALSE,,
230,0,0,0,10.60862906,0,7,0.777980865,0,7,FALSE,,
235,1,0,0,10.63041024,1,3,0.78871052,1,3,FALSE,,
240,2,0,0,10.91978362,2,8,0.772537339,2,8,FALSE,,
245,1,0,0,10.51935334,1,6,0.765306824,1,6,FALSE,,
250,1,0,0,11.0076223,1,3,0.807265954,1,3,FALSE,,
255,1,0,0,11.26373145,1,4,0.814845354,1,4,FALSE,,
260,1,2,0.037735849,11.01625368,0,4,0.836528298,0,4,FALSE,,
265,1,0,0,11.39188021,1,3,0.81391187,1,3,FALSE,,
270,1,1,0.018518519,11.02480589,1,4,0.785950187,1,4,FALSE,,
275,2,1,0.017857143,10.5474888,2,2,0.751503806,2,2,FALSE,,
280,1,0,0,10.9140587,1,2,0.751939135,1,2,FALSE,,
285,0,0,0,11.47987516,0,2,0.834928748,0,2,FALSE,,
290,1,0,0,11.69566773,1,0,0.844673077,1,0,FALSE,,
295,3,0,0,10.91478756,3,0,0.799590513,3,0,FALSE,,
300,3,8,0.126984127,10.58576875,1,6,0.795421073,1,6,FALSE,,
305,3,4,0.06557377,9.902166839,3,18,0.697731651,3,18,FALSE,,
310,3,10,0.15625,10.25925509,2,22,0.725753173,2,22,FALSE,,
315,1,14,0.222222222,9.393731629,1,31,0.700932303,1,31,FALSE,,
320,4,1,0.015384615,9.841794096,4,6,0.719201086,4,6,FALSE,,
325,1,0,0,10.13219122,1,9,0.732006166,1,9,FALSE,,
