step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0,0,0,0,0,0,0,1,0,0,,,
5,1,0,0,4.889413712,1,0,0.342305017,1,0,FALSE,,
10,0,0,0,10.13865462,0,0,0.710674909,0,0,FALSE,,
15,0,0,0,11.4139458,0,0,0.813961858,0,0,FALSE,,
20,1,0,0,10.61948284,1,0,0.768765206,1,0,FALSE,,
25,2,0,0,10.22238144,2,1,0.752554223,2,1,FALSE,,
30,0,0,0,10.5065442,0,0,0.772463116,0,0,FALSE,,
35,3,6,0.1875,10.16818309,3,6,0.724847502,3,6,FALSE,,
40,7,20,0.487804878,9.172275187,7,20,0.651988932,7,20,FALSE,,
45,6,39,0.928571429,9.50912575,6,39,0.685085661,6,39,FALSE,,
50,5,49,1.139534884,9.802019705,5,51,0.70007813,5,51,FALSE,,
55,4,56,1.142857143,9.567696601,4,60,0.670649181,4,60,FALSE,,
60,4,64,1.230769231,9.873509349,4,83,0.676404138,4,83,FALSE,,
65,6,50,0.909090909,9.89081651,6,60,0.671742405,6,60,FALSE,,
70,6,69,1.254545455,9.801780945,6,94,0.665368181,6,94,FALSE,,
75,6,66,1.178571429,10.55250538,6,92,0.722761334,6,92,FALSE,,
80,6,28,0.459016393,9.714526449,6,109,0.662500422,6,109,FALSE,,
85,11,67,1.116666667,8.758551247,11,143,0.578868054,11,143,FALSE,,
90,12,121,2.050847458,8.827829589,12,197,0.574577878,12,197,FALSE,,
95,12,174,3,9.105250803,12,254,0.600274853,12,254,FALSE,,
100,8,124,2.137931034,9.384488298,8,281,0.611091923,8,281,FALSE,,
105,11,109,1.879310345,8.154788998,11,319,0.549513254,11,319,FALSE,,
110,13,122,2.103448276,7.908636628,13,311,0.535320783,13,311,FALSE,,
115,16,190,3.064516129,7.722987313,16,386,0.456044705,16,386,FALSE,,
120,14,230,3.833333333,8.940575857,14,449,0.53183721,14,449,FALSE,,
125,12,240,4.06779661,8.845225714,12,387,0.550885307,12,387,FALSE,,
130,12,218,3.353846154,8.809318946,12,436,0.556701666,12,436,FALSE,,
135,14,227,3.439393939,8.64098374,14,484,0.55865964,14,484,FALSE,,
140,14,287,4.555555556,8.651995171,14,544,0.583200767,14,544,FALSE,,
145,15,357,5.492307692,8.700458656,15,614,0.588706907,15,614,FALSE,,
150,12,389,5.637681159,8.761915809,12,658,0.612880925,12,658,FALSE,,
155,13,450,6.428571429,8.767338565,13,719,0.58704612,13,719,FALSE,,
160,16,522,7.25,8.088270578,16,781,0.546531537,16,781,FALSE,,
165,16,569,7.902777778,7.753362329,16,833,0.534569627,16,833,FALSE,,
170,13,613,8.283783784,8.46524067,13,904,0.558942562,13,904,FALSE,,
175,16,669,8.259259259,8.308085387,16,951,0.523633208,16,951,FALSE,,
180,18,746,9.097560976,8.433708117,18,1026,0.546395973,18,1026,FALSE,,
185,19,832,10.02409639,8.794508985,19,1108,0.569138829,19,1108,FALSE,,
190,23,932,11.94871795,7.744297418,23,1205,0.527230109,23,1205,FALSE,,
195,24,1010,11.88235294,7.488947916,24,1290,0.506189673,24,1290,FALSE,,
