step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0,0,0,0,0,0,0,1,0,0,,,
10,0,0,0,10.13654259,0,0,1,0,0,FALSE,,
20,0,0,0,13.36283642,0,0,0.263835002,0,0,FALSE,,
30,3,18,0.947368421,10.32049502,3,18,0.202031876,3,18,FALSE,,
40,7,58,2.148148148,9.685395668,3,48,0.140281063,3,48,FALSE,,
50,3,18,0.666666667,9.68989456,3,18,0.026450076,3,18,FALSE,,
60,7,67,2.161290323,8.251405313,7,77,0.033553905,7,77,FALSE,,
70,13,161,5.03125,9.995401999,8,146,0.112964162,8,146,FALSE,,
80,12,243,7.363636364,8.732168857,6,185,0,6,185,FALSE,,
90,15,369,9.972972973,7.177140493,6,245,0.10424826,6,245,FALSE,,
100,17,527,14.24324324,6.929791775,6,305,0.058644408,6,305,FALSE,,
110,20,712,19.77777778,5.97798053,6,365,0.042453178,6,365,FALSE,,
120,17,617,18.6969697,4.436611004,7,480,0,7,480,FALSE,,
130,24,819,22.75,4.098613309,8,578,0,8,578,FALSE,,
140,28,1079,27.66666667,3.439702104,8,658,0.078630215,8,658,FALSE,,
150,30,1258,26.76595745,4.080533431,9,768,0.000374342,9,768,FALSE,,
160,26,1257,22.85454545,5.159621148,10,936,0.049425281,10,936,FALSE,,
170,27,1395,23.25,5.309925623,11,1051,0.028774443,11,1051,FALSE,,
180,31,1662,27.7,5.84434229,11,1160,0.035847585,11,1160,FALSE,,
190,40,2016,35.36842105,3.65901254,11,1270,0.021027761,11,1270,FALSE,,
200,40,2378,39.63333333,4.28955061,11,1380,0.059977778,11,1380,FALSE,,
210,35,2376,37.71428571,4.572838744,12,1613,0.004984111,12,1613,FALSE,,
220,35,1444,22.5625,2.849183117,8,1060,0.025682367,8,1060,FALSE,,
230,18,349,5.369230769,5.025024723,10,1026,0.130032228,10,1026,FALSE,,
240,20,432,6.352941176,4.490945623,11,880,0.024871709,11,880,FALSE,,
250,14,512,7.876923077,4.824277145,12,1008,0.005558483,12,1008,FALSE,,
260,20,505,8.14516129,3.735409774,11,1112,0.024854059,11,1112,FALSE,,
270,34,733,11.27692308,4.746858552,11,1150,0.100539602,11,1150,FALSE,,
280,48,1104,16.23529412,4.068476491,14,1265,6.72E-05,14,1265,FALSE,,
290,46,1454,22.71875,2.928432281,13,1392,0,13,1392,FALSE,,
300,47,1737,26.72307692,2.711491734,14,1539,0.045093171,14,1539,FALSE,,
310,41,1803,25.3943662,2.843431311,14,1679,0,14,1679,FALSE,,
320,55,2172,29.35135135,2.613435026,14,1819,0,14,1819,FALSE,,
330,55,2644,33.8974359,2.316118254,14,1959,0.004163034,14,1959,FALSE,,
340,57,3049,37.64197531,2.980626566,14,2099,0.044277696,14,2099,FALSE,,
350,59,3390,41.34146341,2.636106717,15,2240,2.35E-05,15,2240,FALSE,,
360,64,3819,46.01204819,2.011210124,14,2379,0.038727018,14,2379,FALSE,,
370,70,4472,49.14285714,2.436480365,14,2519,0.042193291,14,2519,FALSE,,
380,57,2497,26.01041667,2.527366328,5,1502,0.029741497,5,1502,FALSE,,
390,44,807,7.759615385,3.523048697,10,1842,0.075303159,10,1842,FALSE,,
400,49,330,2.946428571,3.673644204,11,1404,0.083032302,11,1404,FALSE,,
410,32,247,2.166666667,4.103818866,13,2089,0.086889299,13,2089,FALSE,,
420,67,456,3.86440678,2.445368729,15,2118,0.017598234,15,2118,FALSE,,
430,68,830,6.974789916,3.364481368,16,2253,0.037895835,16,2253,FALSE,,
440,78,1309,10.90833333,2.865286893,18,2393,0.007211237,18,2393,FALSE,,
450,72,1652,13.88235294,2.81213281,14,2459,0.038854747,14,2459,FALSE,,
460,81,1696,14.01652893,2.317425539,12,1696,0.008550394,12,1696,FALSE,,
470,49,1104,9.123966942,3.594610693,10,1839,0.114372802,10,1839,FALSE,,
480,58,1246,9.968,4.170025088,16,2488,0.048557242,16,2488,FALSE,,
490,68,1732,13.856,3.572923553,18,2276,0.055730675,18,2276,FALSE,,
500,66,1897,16.07627119,2.44523199,14,1928,0.085759824,14,1928,FALSE,,
510,66,2247,19.20512821,3.306883337,16,2350,0.069143236,16,2350,FALSE,,
520,71,2302,19.84482759,2.774886126,17,2573,0.044067718,17,2573,FALSE,,
530,70,2335,20.30434783,2.367218089,16,2701,0.01439787,16,2701,FALSE,,
