step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0,0,0,0,0,0,0,1,0,0,,,
10,1,0,0,10.22228676,0,0,1,0,0,FALSE,,
20,0,0,0,11.57316405,0,0,0.341323657,0,0,FALSE,,
30,3,14,0.823529412,10.24132189,2,14,0.052584448,2,14,FALSE,,
40,4,40,1.818181818,9.450691699,3,38,0.130224079,3,38,FALSE,,
50,4,80,3.636363636,10.35113074,3,68,0.069189669,3,68,FALSE,,
60,8,136,5.913043478,7.969055733,3,98,0.049199382,3,98,FALSE,,
70,8,211,9.173913043,8.838454634,5,143,0.003545858,5,143,FALSE,,
80,9,298,11.03703704,8.7685659,6,200,0.116384252,6,200,FALSE,,
90,3,43,1.482758621,10.07108294,2,73,0.093434145,2,73,FALSE,,
100,8,55,2.037037037,9.427953512,8,160,0.134136899,8,160,FALSE,,
110,6,102,3.777777778,9.691063397,5,101,0.092383422,5,101,FALSE,,
120,8,176,8.380952381,8.373121629,6,152,1.00E-05,6,152,FALSE,,
130,3,22,1.047619048,8.256408293,1,51,0.048991109,1,51,FALSE,,
140,4,19,1,9.91256861,3,57,0.003398771,3,57,FALSE,,
150,4,28,1.166666667,9.961841647,2,33,0.078698289,2,33,FALSE,,
160,3,56,2.074074074,14.43194143,3,61,0.262440819,3,61,FALSE,,
170,6,96,3.555555556,10.39222285,4,95,0.095198907,4,95,FALSE,,
180,6,149,5.137931034,10.85195213,4,135,0.037287453,4,135,FALSE,,
190,8,214,8.230769231,11.30243402,4,175,0.216701245,4,175,FALSE,,
200,10,294,12.25,8.284813884,6,225,0.032412966,6,225,FALSE,,
210,6,114,4.222222222,8.010262159,2,130,0.077541731,2,130,FALSE,,
220,2,35,1.25,10.67422411,2,137,0.111145752,2,137,FALSE,,
230,9,98,3.379310345,9.024939792,6,88,0.103513436,6,88,FALSE,,
240,15,216,8,6.38027678,6,148,0,6,148,FALSE,,
250,16,360,13.84615385,5.374011708,6,208,0,6,208,FALSE,,
260,8,147,5.653846154,5.326547194,1,131,0.091451178,1,131,FALSE,,
270,6,32,1.103448276,7.131773347,5,158,0.09786788,5,158,FALSE,,
280,5,56,1.696969697,8.292982462,3,85,0.139196565,3,85,FALSE,,
290,8,100,3.03030303,8.680429153,3,117,0.174663623,3,117,FALSE,,
300,7,41,1.366666667,8.028343036,4,135,0.074418378,4,135,FALSE,,
310,14,150,5,7.141837711,5,164,0.163374046,5,164,FALSE,,
320,15,290,9.0625,7.018397288,5,189,0,5,189,FALSE,,
330,14,352,11,7.212388389,6,310,0.027757031,6,310,FALSE,,
340,15,284,8.352941176,3.862283901,7,377,0.011993575,7,377,FALSE,,
350,22,481,13.36111111,6.106826885,7,447,0,7,447,FALSE,,
360,21,594,16.05405405,4.29562254,8,545,0.08582803,8,545,FALSE,,
370,24,741,20.02702703,3.154503119,8,619,0.04470374,8,619,FALSE,,
380,14,135,3.375,4.438270354,2,440,0.038799672,2,440,FALSE,,
390,7,53,1.127659574,6.209737758,4,459,0.082557626,4,459,FALSE,,
400,11,114,2.235294118,7.559972267,6,317,0.064054191,6,317,FALSE,,
410,9,174,3.411764706,6.657283515,8,397,0.07112268,8,397,FALSE,,
420,16,182,3.433962264,6.065207972,8,373,0.017092943,8,373,FALSE,,
430,28,414,8.28,5.357860103,10,452,0.049125098,10,452,FALSE,,
440,34,739,14.21153846,4.728072967,12,563,0.051234575,12,563,FALSE,,
450,28,822,17.125,4.059780287,8,696,0.050333406,8,696,FALSE,,
460,20,339,6.519230769,3.891001017,5,236,0.037973541,5,236,FALSE,,
470,16,118,2.145454545,4.469804283,9,428,0.012678827,9,428,FALSE,,
480,18,237,4.086206897,5.683545861,6,299,0.145058256,6,299,FALSE,,
490,22,376,6.714285714,6.483474008,7,296,0.063051547,7,296,FALSE,,
500,17,493,9.301886792,4.141430964,8,393,0.103711311,8,393,FALSE,,
510,24,666,11.89285714,3.973858839,7,348,0,7,348,FALSE,,
520,23,826,15.58490566,4.702715616,8,546,0.095752691,8,546,FALSE,,
530,25,1006,18.98113208,5.212483637,12,701,0.086513414,12,701,FALSE,,
540,24,1217,22.53703704,5.846269027,11,702,0.029691587,11,702,FALSE,,
550,26,1436,27.09433962,7.160236098,12,794,0.056343299,12,794,FALSE,,
560,27,1683,34.34693878,4.990712791,12,906,0.015763786,12,906,FALSE,,
570,26,1921,42.68888889,5.842724288,12,1025,0.119382351,12,1025,FALSE,,
580,29,2191,48.68888889,4.912688091,15,1160,0.036177222,15,1160,FALSE,,
590,29,2457,53.41304348,4.528155642,12,1270,0.120939145,12,1270,FALSE,,
600,30,2737,57.02083333,4.726384932,12,1385,0.04520258,12,1385,FALSE,,
610,30,3017,61.57142857,5.607254527,12,1505,0.019370108,12,1505,FALSE,,
620,30,2249,46.85416667,3.280502176,11,1462,0.054549364,11,1462,FALSE,,
630,30,1456,26.47272727,3.980006528,14,1584,0.006830719,14,1584,FALSE,,
640,34,1143,19.70689655,4.244697935,15,1572,0.043412318,15,1572,FALSE,,
650,36,1498,24.96666667,5.09076225,16,1750,0.010777871,16,1750,FALSE,,
660,33,1412,23.93220339,4.494017264,11,1354,0.068968353,11,1354,FALSE,,
670,22,1241,20.01612903,5.47702343,10,1758,0.022481939,10,1758,FALSE,,
680,28,1387,22.37096774,6.068259991,13,1872,0.00092044,13,1872,FALSE,,
