step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0,0,0,0,0,0,0,1,0,0,,,
5,1,0,0,4.18433186,1,0,0.322881551,1,0,FALSE,,
10,0,0,0,8.945838538,0,0,0.679897267,0,0,FALSE,,
15,1,0,0,9.43320237,1,0,0.702823415,1,0,FALSE,,
20,1,0,0,10.05120679,1,0,0.739861623,1,0,FALSE,,
25,2,0,0,10.5313965,2,0,0.768151693,2,0,FALSE,,
30,3,3,0.1,9.543876268,3,3,0.686162325,3,3,FALSE,,
35,5,19,0.527777778,8.645199181,5,19,0.6234345,5,19,FALSE,,
40,7,28,0.636363636,8.46198227,7,30,0.620829298,7,30,FALSE,,
45,10,62,1.291666667,8.190306318,10,68,0.602555547,10,68,FALSE,,
50,10,79,1.490566038,8.359215421,10,96,0.629022536,10,96,FALSE,,
55,10,74,1.233333333,8.824585012,10,97,0.641810437,10,97,FALSE,,
60,10,90,1.384615385,8.701711357,10,108,0.628483392,10,108,FALSE,,
65,11,103,1.450704225,8.839362391,11,116,0.607254599,11,116,FALSE,,
70,11,118,1.532467532,8.56985461,11,155,0.580526371,11,155,FALSE,,
75,13,156,1.925925926,8.860182367,13,195,0.619012015,13,195,FALSE,,
80,18,217,2.523255814,8.343755463,18,249,0.55758861,18,249,FALSE,,
85,20,276,3,8.102893946,20,320,0.541234043,20,320,FALSE,,
90,18,328,3.452631579,7.733076091,18,384,0.491504921,18,384,FALSE,,
95,25,438,4.294117647,8.053797264,25,488,0.522232577,25,488,FALSE,,
100,25,514,4.803738318,7.912486466,25,579,0.514067039,25,579,FALSE,,
105,23,595,5.509259259,7.590046436,23,679,0.492060403,23,679,FALSE,,
110,32,735,6.681818182,7.087811326,32,807,0.454453436,32,807,FALSE,,
115,29,794,7.28440367,6.859380395,29,918,0.448157465,29,918,FALSE,,
120,33,935,8.274336283,7.051543771,33,1044,0.452952291,33,1044,FALSE,,
125,37,1088,9.299145299,7.00924879,37,1185,0.441581562,37,1185,FALSE,,
