step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0,0,0,0,0,0,0,1,0,0,,,
5,1,0,0,4.186896053,1,0,0.322770696,1,0,FALSE,,
10,0,0,0,8.942968065,0,0,0.690223115,0,0,FALSE,,
15,0,0,0,10.08152093,0,0,0.770611426,0,0,FALSE,,
20,1,0,0,10.1472886,1,0,0.742875623,1,0,FALSE,,
25,2,0,0,10.21744423,2,0,0.763376112,2,0,FALSE,,
30,0,0,0,10.66916462,0,0,0.778181436,0,0,FALSE,,
35,1,3,0.09375,9.611260784,1,3,0.710177084,1,3,FALSE,,
40,6,16,0.4,8.941811328,6,16,0.655177697,6,16,FALSE,,
45,5,34,0.790697674,9.399376175,5,34,0.700641505,5,34,FALSE,,
50,4,42,0.933333333,9.475897926,4,43,0.67631291,4,43,FALSE,,
55,8,72,1.44,9.0160685,8,73,0.645491802,8,73,FALSE,,
60,8,107,2.057692308,8.980467169,8,107,0.627054256,8,107,FALSE,,
65,10,135,2.454545455,9.05963554,10,136,0.614237375,10,136,FALSE,,
70,10,176,3.087719298,9.254181754,10,178,0.632448559,10,178,FALSE,,
75,7,165,2.894736842,10.0869312,7,181,0.691647554,7,181,FALSE,,
80,13,211,3.576271186,8.526519545,13,187,0.583533256,13,187,FALSE,,
85,12,210,3.5,7.915484084,12,229,0.552320266,12,229,FALSE,,
90,14,267,4.306451613,8.015382862,14,255,0.544471652,14,255,FALSE,,
95,9,241,3.950819672,8.776993022,9,265,0.60046671,9,265,FALSE,,
100,13,289,4.737704918,8.536205755,13,317,0.561609039,13,317,FALSE,,
105,12,341,5.412698413,8.32965972,12,361,0.539901264,12,361,FALSE,,
110,14,398,6.21875,8.125089938,14,352,0.549219665,14,352,FALSE,,
115,9,290,4.53125,8.050433302,9,367,0.512464933,9,367,FALSE,,
120,10,264,4.327868852,8.849421271,10,342,0.57964465,10,342,FALSE,,
125,9,282,4.476190476,9.108106409,9,376,0.584752599,9,376,FALSE,,
130,11,322,4.735294118,9.145063523,11,383,0.605941586,11,383,FALSE,,
135,12,370,5.211267606,9.01703,12,425,0.606426754,12,425,FALSE,,
140,8,129,1.767123288,9.563257565,8,461,0.635924501,8,461,FALSE,,
145,12,144,2.028169014,9.79762176,12,465,0.658822167,12,465,FALSE,,
150,11,179,2.521126761,9.436590377,11,516,0.615438859,11,516,FALSE,,
155,13,225,2.960526316,9.084825056,13,533,0.551413088,13,533,FALSE,,
160,10,273,3.739726027,9.310216846,10,570,0.607011805,10,570,FALSE,,
165,16,339,4.985294118,9.306082604,16,638,0.626444763,16,638,FALSE,,
170,10,297,4.125,9.029572889,10,498,0.590716413,10,498,FALSE,,
175,10,327,4.36,9.186799599,10,500,0.631044252,10,500,FALSE,,
180,10,279,3.53164557,9.648834754,10,351,0.649342278,10,351,FALSE,,
185,9,319,4.08974359,10.06972529,9,374,0.682389005,9,374,FALSE,,
190,9,351,4.618421053,9.744298523,9,403,0.653193013,9,403,FALSE,,
195,13,404,4.987654321,9.070101907,13,455,0.584296334,13,455,FALSE,,
200,15,467,5.8375,9.081402374,15,518,0.555238477,15,518,FALSE,,
205,18,550,7.051282051,9.217214157,18,600,0.548628425,18,600,FALSE,,
210,18,563,7.608108108,8.605819169,18,621,0.550092356,18,621,FALSE,,
215,16,605,8.287671233,8.955801587,16,681,0.557611869,16,681,FALSE,,
220,17,679,9.7,8.814777229,17,753,0.578623728,17,753,FALSE,,
225,18,767,11.8,8.500280117,18,833,0.543380492,18,833,FALSE,,
230,20,838,13.73770492,7.282247596,20,923,0.475886827,20,923,FALSE,,
235,17,880,14.66666667,7.042624553,17,950,0.450497824,17,950,FALSE,,
240,19,875,13.671875,6.885556642,19,980,0.429218139,19,980,FALSE,,
245,19,959,14.53030303,6.94247519,19,1062,0.473468126,19,1062,FALSE,,
250,17,1005,15,7.88671834,17,1090,0.512335474,17,1090,FALSE,,
255,20,1071,15.3,7.742974579,20,1177,0.529539717,20,1177,FALSE,,
260,19,1159,16.55714286,7.989639163,19,1256,0.547692807,19,1256,FALSE,,
265,20,1235,16.68918919,7.935027969,20,1336,0.500932667,20,1336,FALSE,,
270,24,1340,18.61111111,7.143618295,24,1435,0.453494776,24,1435,FALSE,,
275,22,1290,16.97368421,7.26849134,22,1386,0.4699156,22,1386,FALSE,,
280,20,1254,15.87341772,7.304576104,20,1473,0.457230313,20,1473,FALSE,,
285,22,1356,17.38461538,7.446536248,22,1570,0.476829266,22,1570,FALSE,,
