step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0,0,0,0,0,0,0,1,0,0,,,
10,0,0,0,10.82354729,0,0,1,0,0,FALSE,,
20,0,0,0,12.94102655,0,0,0.45568336,0,0,FALSE,,
30,3,20,1.052631579,9.423740359,3,20,0.090943216,3,20,FALSE,,
40,7,59,2.185185185,9.904935305,3,54,0.148478982,3,54,FALSE,,
50,6,119,4.407407407,10.01087668,3,80,0.210574229,3,80,FALSE,,
60,9,154,4.967741935,8.169065444,5,126,0.098458191,5,126,FALSE,,
70,12,217,7,8.648946686,7,207,1.38E-05,7,207,FALSE,,
80,13,330,9.705882353,8.613696846,9,287,0.001493823,9,287,FALSE,,
90,15,456,12.32432432,7.607075581,8,364,0.166476467,8,364,FALSE,,
100,17,605,15.92105263,7.613865223,9,452,0.040213718,9,452,FALSE,,
110,15,274,7.210526316,6.19123498,6,295,0.020817671,6,295,FALSE,,
120,13,173,4.942857143,4.69878573,10,274,0.009077365,10,274,FALSE,,
130,16,316,8.315789474,8.056073552,11,376,0.057876313,11,376,FALSE,,
140,20,451,12.18918919,6.258078429,9,414,0.008428324,9,414,FALSE,,
150,16,501,11.65116279,6.783915306,7,413,0.107009426,7,413,FALSE,,
160,17,660,13.46938776,8.923251995,7,442,0.0322292,7,442,FALSE,,
170,15,616,12.57142857,7.678157429,8,570,0.084129589,8,570,FALSE,,
180,20,764,15.91666667,8.163898455,8,650,0,8,650,FALSE,,
190,26,999,24.36585366,4.078064634,8,730,0.068951076,8,730,FALSE,,
200,28,1263,28.06666667,5.849491195,8,810,0,8,810,FALSE,,
210,13,456,9.913043478,4.872266552,3,655,0.035245436,3,655,FALSE,,
220,8,192,3.84,5.010782514,5,538,0.128329322,5,538,FALSE,,
230,9,238,4.666666667,5.557971074,9,638,0.073808031,9,638,FALSE,,
240,9,298,5.843137255,5.332912821,7,477,0.098954762,7,477,FALSE,,
250,11,386,7.72,6.456918981,10,548,0.01835646,10,548,FALSE,,
260,11,476,9.714285714,7.93702381,7,468,0.127417377,7,468,FALSE,,
270,16,600,12.24489796,6.228719869,7,524,0.029747266,7,524,FALSE,,
280,13,698,13.96,8.211629726,8,598,0.12930205,8,598,FALSE,,
290,17,823,18.28888889,6.254631659,8,685,0.045069604,8,685,FALSE,,
300,16,956,20.34042553,7.490797696,10,773,0.059838497,10,773,FALSE,,
310,14,471,10.0212766,5.791481451,6,683,0.019233614,6,683,FALSE,,
320,20,496,10.33333333,7.865809485,8,473,0.114640523,8,473,FALSE,,
330,24,697,13.94,6.8810807,10,552,0.04707586,10,552,FALSE,,
340,25,931,19.39583333,6.184206016,8,591,0.093314344,8,591,FALSE,,
350,17,720,15.65217391,5.743283481,8,663,0.041199963,8,663,FALSE,,
360,23,734,15.61702128,4.827957414,9,741,0.04004607,9,741,FALSE,,
370,31,1009,19.03773585,5.372188144,9,831,0.060753058,9,831,FALSE,,
380,33,1202,21.46428571,4.649948698,10,965,0,10,965,FALSE,,
390,35,1294,20.53968254,4.38239813,11,1136,0,11,1136,FALSE,,
400,35,1416,20.22857143,4.454100434,11,1246,0,11,1246,FALSE,,
410,37,918,12.57534247,4.057592912,7,856,0.019876007,7,856,FALSE,,
420,34,778,9.604938272,5.181713109,10,1076,0.087053316,10,1076,FALSE,,
430,26,700,8.536585366,5.125785858,10,873,0.060171833,10,873,FALSE,,
440,36,866,10.30952381,4.013086558,13,1092,0.058708806,13,1092,FALSE,,
450,33,1077,12.82142857,5.257733194,11,1164,0.124801782,11,1164,FALSE,,
460,44,1241,14.77380952,3.874564105,16,1185,0.040354238,16,1185,FALSE,,
470,34,1348,15.6744186,4.889197306,11,1363,0.090659459,11,1363,FALSE,,
480,32,1568,18.23255814,4.746133972,11,1415,0.054822345,11,1415,FALSE,,
490,38,1795,20.87209302,4.286741416,16,1558,0.066267916,16,1558,FALSE,,
500,40,2075,24.70238095,3.613527827,12,1663,0.09899893,12,1663,FALSE,,
510,33,1946,23.44578313,4.065900938,12,1702,0.04200742,12,1702,FALSE,,
520,37,2243,26.70238095,4.174674535,14,1435,0.106571627,14,1435,FALSE,,
530,43,2609,31.43373494,3.76970188,12,1445,0.028588708,12,1445,FALSE,,
540,42,2911,35.5,4.332173735,13,1635,0.030394217,13,1635,FALSE,,
550,40,3237,39,4.23986332,13,1693,0.054628861,13,1693,FALSE,,
560,39,3577,45.27848101,4.043131053,13,1809,0.033472129,13,1809,FALSE,,
