step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0,0,0,0,0,0,0,1,0,0,,,
10,1,0,0,8.722904534,0,0,1,0,0,FALSE,,
20,0,0,0,12.61026473,0,0,0.314326701,0,0,FALSE,,
30,3,10,0.588235294,10.30119524,2,10,0.059854936,2,10,FALSE,,
40,5,39,1.772727273,10.1145012,4,38,0.17968812,4,38,FALSE,,
50,4,78,3.391304348,11.65655824,3,67,0.088034522,3,67,FALSE,,
60,9,133,6.045454545,7.895740418,4,99,0.126230022,4,99,FALSE,,
70,8,211,9.173913043,8.702844774,5,147,0.061494061,5,147,FALSE,,
80,9,298,11.03703704,9.037056397,6,206,0.115393802,6,206,FALSE,,
90,9,388,13.85714286,9.158505826,6,264,0.090241273,6,264,FALSE,,
100,11,488,17.42857143,8.779036327,6,324,0.078117238,6,324,FALSE,,
110,8,98,3.62962963,6.880586438,3,373,0.08745709,3,373,FALSE,,
120,11,77,3.347826087,3.816917844,7,346,0.010982772,7,346,FALSE,,
130,13,196,7.84,6.380630665,9,447,0.150307793,9,447,FALSE,,
140,9,163,6.269230769,8.403721527,5,254,0.092217028,5,254,FALSE,,
150,11,204,7.034482759,7.435893466,6,217,0.064945669,6,217,FALSE,,
160,10,299,9.060606061,10.58039008,6,236,0.107574913,6,236,FALSE,,
170,13,405,12.27272727,8.139300936,6,296,0,6,296,FALSE,,
180,14,534,14.83333333,8.475337786,6,356,0,6,356,FALSE,,
190,11,464,14.5,7.222737749,6,465,0.032104274,6,465,FALSE,,
200,19,613,19.77419355,4.568991009,7,535,0,7,535,FALSE,,
210,19,799,22.19444444,5.837550384,7,605,0,7,605,FALSE,,
220,21,995,27.63888889,5.040676893,7,675,0,7,675,FALSE,,
230,20,997,26.23684211,3.290561783,8,809,0,8,809,FALSE,,
240,26,1217,29.68292683,3.439415615,8,889,4.54E-06,8,889,FALSE,,
250,28,1326,31.57142857,2.929709027,10,1161,0,10,1161,FALSE,,
260,30,1504,34.97674419,2.452074022,10,1287,0.01390745,10,1287,FALSE,,
270,37,1856,41.24444444,1.817490247,11,1396,0.0349781,11,1396,FALSE,,
280,36,2144,42.88,2.742154579,11,1506,0.052693351,11,1506,FALSE,,
290,33,2123,38.6,3.244356613,12,1646,0,12,1646,FALSE,,
300,33,2354,44.41509434,1.726321518,12,1766,0.025403846,12,1766,FALSE,,
310,35,1267,22.22807018,2.746497659,5,1015,0.042360393,5,1015,FALSE,,
320,21,441,7.35,4.418228933,6,990,0.119982248,6,990,FALSE,,
330,8,161,2.596774194,5.925523849,5,628,0.143745762,5,628,FALSE,,
340,12,206,3.433333333,5.122951336,10,868,0.133787454,10,868,FALSE,,
350,17,321,5.534482759,5.081717664,8,766,0.007785455,8,766,FALSE,,
360,21,378,6.517241379,4.833106038,12,1056,0.056304877,12,1056,FALSE,,
370,15,449,8.163636364,4.175815419,9,773,0.049689938,9,773,FALSE,,
380,14,552,10.03636364,6.471170663,11,893,0.059779265,11,893,FALSE,,
390,17,678,11.68965517,6.061268398,10,819,0.115341787,10,819,FALSE,,
400,21,859,14.55932203,4.916402484,12,860,0.006978213,12,860,FALSE,,
410,16,708,11.41935484,6.767228084,8,731,0.120585646,8,731,FALSE,,
420,24,900,15,6.270310727,13,691,0.060740771,13,691,FALSE,,
430,29,1112,18.84745763,4.395293265,8,745,0.046475245,8,745,FALSE,,
440,30,1352,21.80645161,4.665543848,10,848,0.045535748,10,848,FALSE,,
450,25,1569,25.72131148,5.962445714,8,887,0.120877624,8,887,FALSE,,
460,35,1865,30.57377049,4.424431976,11,997,0.008117682,11,997,FALSE,,
470,36,2169,36.15,5.322120632,11,1084,0.01735808,11,1084,FALSE,,
480,39,2471,42.60344828,4.149752933,11,1190,0.026694424,11,1190,FALSE,,
490,37,2788,48.06896552,4.44281781,10,1279,0.018697478,10,1279,FALSE,,
500,40,3157,54.43103448,3.870937026,11,1377,0.021609908,11,1377,FALSE,,
510,31,1599,26.65,3.82999181,3,845,0.045339575,3,845,FALSE,,
520,18,142,2.406779661,4.538224867,9,1132,0.126260455,9,1132,FALSE,,
530,14,125,2.083333333,6.050518266,5,505,0.106835658,5,505,FALSE,,
540,13,179,3.140350877,6.905817991,9,743,0.061739086,9,743,FALSE,,
550,21,321,5.944444444,5.947977128,13,800,0.005117872,13,800,FALSE,,
560,29,563,11.26,4.298884008,12,655,0.048575573,12,655,FALSE,,
570,30,825,16.83673469,5.164270639,11,724,0.000283332,11,724,FALSE,,
