step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0,0,0,0,0,0,0,1,0,0,,,
10,1,0,0,10.11751662,0,0,1,0,0,FALSE,,
20,0,0,0,13.73573153,0,0,0.528232271,0,0,FALSE,,
30,1,0,0,13.59196836,0,0,0.618481866,0,0,FALSE,,
40,0,0,0,12.53712887,0,0,0.55808667,0,0,FALSE,,
50,0,0,0,14.70193289,0,0,1,0,0,FALSE,,
60,2,0,0,14.76731928,0,0,0.636610013,0,0,FALSE,,
70,0,0,0,14.91336366,0,0,0.802289284,0,0,FALSE,,
80,0,0,0,13.16927253,0,0,1,0,0,FALSE,,
90,0,0,0,16.20943515,0,0,0.654329965,0,0,FALSE,,
100,0,0,0,15.68794433,0,0,1,0,0,FALSE,,
110,0,0,0,16.23412699,0,0,0.69541578,0,0,FALSE,,
120,0,0,0,16.93382189,0,0,0.553972155,0,0,FALSE,,
130,0,0,0,15.15786885,0,0,1,0,0,FALSE,,
140,1,0,0,16.35591114,0,0,0.491512834,0,0,FALSE,,
150,2,0,0,12.43739249,0,0,0.867170626,0,0,FALSE,,
160,0,0,0,14.75923704,0,0,1,0,0,FALSE,,
170,1,0,0,13.41828155,0,0,0.674497278,0,0,FALSE,,
180,0,0,0,14.3708332,0,0,1,0,0,FALSE,,
190,1,0,0,15.95651228,0,0,0.78728795,0,0,FALSE,,
200,1,0,0,13.20368504,0,0,0.529525123,0,0,FALSE,,
210,1,0,0,13.65283969,0,0,1,0,0,FALSE,,
220,0,0,0,15.04622805,0,0,0.611914241,0,0,FALSE,,
230,0,0,0,16.10588202,0,0,1,0,0,FALSE,,
240,1,0,0,14.15665693,0,0,0.564175237,0,0,FALSE,,
250,0,0,0,16.54944525,0,0,1,0,0,FALSE,,
260,0,0,0,17.27183433,0,0,1,0,0,FALSE,,
270,0,0,0,15.58496157,0,0,1,0,0,FALSE,,
280,1,0,0,13.65260047,0,0,1,0,0,FALSE,,
290,2,0,0,13.15604861,0,0,1,0,0,FALSE,,
300,0,0,0,15.88058942,0,0,0.732021984,0,0,FALSE,,
310,1,0,0,12.53974862,0,0,0.582610087,0,0,FALSE,,
320,1,0,0,14.99636124,0,0,0.779096761,0,0,FALSE,,
330,0,0,0,15.38111154,0,0,0.452604047,0,0,FALSE,,
340,0,0,0,13.09887534,0,0,0.469006506,0,0,FALSE,,
350,0,0,0,14.84902728,0,0,0.211960729,0,0,FALSE,,
360,1,0,0,14.40584622,0,0,0.696449112,0,0,FALSE,,
370,0,0,0,14.56666853,0,0,0.587681955,0,0,FALSE,,
380,1,0,0,13.68044201,0,0,0.487741586,0,0,FALSE,,
390,2,0,0,12.90248828,0,0,0.788196043,0,0,FALSE,,
400,1,0,0,14.40212525,0,0,0.666861644,0,0,FALSE,,
410,1,0,0,14.81200518,0,0,0.575666358,0,0,FALSE,,
420,1,1,0.037037037,14.99846623,0,0,0.549689533,0,0,FALSE,,
430,1,1,0.04,13.94210563,0,0,0.690952822,0,0,FALSE,,
440,0,0,0,14.50169785,0,1,0.454541454,0,1,FALSE,,
450,0,0,0,19.66970822,0,0,0.657825786,0,0,FALSE,,
460,0,0,0,16.79944508,0,0,0.976055374,0,0,FALSE,,
470,0,0,0,13.69009904,0,0,0.939655214,0,0,FALSE,,
480,1,0,0,12.91910684,0,0,1,0,0,FALSE,,
490,1,0,0,16.14227468,0,0,0.777438157,0,0,FALSE,,
500,0,0,0,13.54395579,0,0,1,0,0,FALSE,,
510,1,0,0,15.69872951,0,0,0.544086188,0,0,FALSE,,
520,0,0,0,16.38769934,0,0,0.574606115,0,0,FALSE,,
530,0,0,0,15.59476063,0,0,1,0,0,FALSE,,
540,0,0,0,16.28277668,0,0,0.612919743,0,0,FALSE,,
550,0,0,0,16.70456293,0,0,0.829936428,0,0,FALSE,,
560,0,0,0,14.59605342,0,0,0.781460492,0,0,FALSE,,
570,0,0,0,15.69715185,0,0,1,0,0,FALSE,,
580,0,0,0,14.0862148,0,0,0.445949929,0,0,FALSE,,
590,0,0,0,14.25276119,0,0,0.507754357,0,0,FALSE,,
600,1,0,0,14.71928961,0,0,0.502875088,0,0,FALSE,,
610,0,0,0,14.55835111,0,0,0.577321402,0,0,FALSE,,
620,0,0,0,14.92799679,0,0,0.977473559,0,0,FALSE,,
630,0,0,0,15.59011861,0,0,0.61783772,0,0,FALSE,,
640,1,0,0,14.18060009,0,0,0.797331357,0,0,FALSE,,
650,0,0,0,12.82211167,0,0,0.501816988,0,0,FALSE,,
660,0,0,0,16.08166032,0,0,0.619597992,0,0,FALSE,,
670,2,0,0,13.7731074,0,0,0.638334451,0,0,FALSE,,
680,2,0,0,15.24017342,0,0,0.992141642,0,0,FALSE,,
690,0,0,0,17.34458021,0,0,0.697124179,0,0,FALSE,,
700,1,0,0,14.01336684,0,0,0.431510013,0,0,FALSE,,
710,0,0,0,17.7631654,0,0,1,0,0,FALSE,,
720,0,0,0,13.36178746,0,0,0.7861707,0,0,FALSE,,
730,1,0,0,14.37588971,0,0,0.82800782,0,0,FALSE,,
740,1,0,0,14.61140326,0,0,0.672329702,0,0,FALSE,,
750,1,0,0,13.75552482,0,0,0.462009291,0,0,FALSE,,
760,1,0,0,13.48512019,0,0,0.607170082,0,0,FALSE,,
770,2,0,0,11.90777516,0,0,0.783695378,0,0,FALSE,,
780,1,0,0,15.87806424,0,0,1,0,0,FALSE,,
790,0,0,0,14.14447609,0,0,1,0,0,FALSE,,
800,2,0,0,13.93746562,0,0,0.625529347,0,0,FALSE,,
810,1,0,0,15.6440052,0,0,0.582280929,0,0,FALSE,,
820,1,4,0.181818182,15.99614503,0,0,0.610704685,0,0,FALSE,,
830,3,14,0.583333333,12.63200535,0,0,0.509849096,0,0,FALSE,,
840,2,24,1,16.07745157,0,0,0.722583795,0,0,FALSE,,
850,1,34,1.47826087,15.69134634,0,0,0.942769295,0,0,FALSE,,
860,2,1,0.045454545,14.18309723,0,0,0.884087832,0,0,FALSE,,
870,0,0,0,16.44615417,0,0,0.581731079,0,0,FALSE,,
880,1,0,0,14.55622905,0,0,1,0,0,FALSE,,
