step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0,0,0,0,0,0,0,1,0,0,,,
5,0,0,0,3.988346551,0,0,0.302387677,0,0,FALSE,,
10,1,0,0,7.964321079,1,0,0.569182093,1,0,FALSE,,
15,0,0,0,9.974114456,0,0,0.702189031,0,0,FALSE,,
20,0,0,0,10.92190994,0,0,0.777877075,0,0,FALSE,,
25,2,0,0,10.22960883,2,0,0.738942611,2,0,FALSE,,
30,0,0,0,10.89860549,0,0,0.791522807,0,0,FALSE,,
35,0,0,0,11.11394085,0,0,0.794655436,0,0,FALSE,,
40,2,0,0,11.22962825,2,0,0.791900871,2,0,FALSE,,
45,0,0,0,11.54787858,0,0,0.828847654,0,0,FALSE,,
50,0,0,0,11.25286497,0,0,0.799417151,0,0,FALSE,,
55,2,0,0,11.23803644,2,1,0.768586023,2,1,FALSE,,
60,0,0,0,11.76550674,0,1,0.824609774,0,1,FALSE,,
65,0,0,0,11.82296804,0,1,0.827160761,0,1,FALSE,,
70,1,0,0,11.55110343,1,0,0.814815047,1,0,FALSE,,
75,0,0,0,11.36986128,0,1,0.825293957,0,1,FALSE,,
80,2,0,0,11.11015895,2,1,0.783168489,2,1,FALSE,,
85,1,0,0,11.59657332,1,0,0.807258728,1,0,FALSE,,
90,0,0,0,11.00332376,0,0,0.790296347,0,0,FALSE,,
95,2,0,0,11.76831287,2,0,0.826345729,2,0,FALSE,,
100,0,0,0,11.5710623,0,1,0.825245301,0,1,FALSE,,
105,2,1,0.015151515,11.18832431,2,3,0.798744798,2,3,FALSE,,
110,3,0,0,11.24766309,3,2,0.794701132,3,2,FALSE,,
115,0,0,0,11.71691496,0,0,0.836658848,0,0,FALSE,,
120,0,0,0,11.35198553,0,0,0.786769623,0,0,FALSE,,
125,2,0,0,11.59982232,2,0,0.805468806,2,0,FALSE,,
130,1,0,0,11.43124182,1,0,0.80555185,1,0,FALSE,,
135,0,0,0,11.37976611,0,0,0.784748367,0,0,FALSE,,
140,2,2,0.027027027,11.79787097,1,0,0.856309007,1,0,FALSE,,
145,0,0,0,11.49974423,0,3,0.796976053,0,3,FALSE,,
150,2,3,0.041666667,11.04954954,1,6,0.798146187,1,6,FALSE,,
155,2,0,0,10.57089587,2,7,0.75365392,2,7,FALSE,,
160,0,0,0,10.65152177,0,4,0.763647103,0,4,FALSE,,
165,2,0,0,11.00675183,2,5,0.781227443,2,5,FALSE,,
170,1,0,0,11.9474238,1,2,0.857505057,1,2,FALSE,,
175,1,0,0,10.94386332,1,2,0.764682908,1,2,FALSE,,
180,2,3,0.037037037,10.43565401,2,7,0.732302975,2,7,FALSE,,
185,1,0,0,10.80207943,1,2,0.772248202,1,2,FALSE,,
190,0,0,0,11.05575297,0,7,0.791515272,0,7,FALSE,,
195,3,1,0.012987013,11.03649052,2,5,0.765941574,2,5,FALSE,,
200,3,1,0.012658228,10.81363227,2,7,0.745592786,2,7,FALSE,,
205,1,3,0.0375,10.53987344,0,4,0.760089116,0,4,FALSE,,
210,3,2,0.025641026,10.88971595,2,13,0.797547168,2,13,FALSE,,
215,2,0,0,11.59016462,2,13,0.832144165,2,13,FALSE,,
220,0,0,0,11.44637986,0,6,0.824550635,0,6,FALSE,,
225,1,0,0,10.92697039,1,1,0.781082961,1,1,FALSE,,
230,2,1,0.012987013,10.75643024,1,2,0.746464934,1,2,FALSE,,
235,0,0,0,10.96558654,0,3,0.779836435,0,3,FALSE,,
240,2,0,0,11.78589291,2,2,0.827154541,2,2,FALSE,,
245,0,0,0,11.45422662,0,0,0.808420011,0,0,FALSE,,
250,1,0,0,11.3970688,1,0,0.809098176,1,0,FALSE,,
255,1,0,0,11.68628477,1,0,0.838253041,1,0,FALSE,,
260,1,0,0,11.78974066,1,1,0.839852625,1,1,FALSE,,
265,1,0,0,11.76906315,1,1,0.837319364,1,1,FALSE,,
270,2,2,0.02739726,10.81583754,1,0,0.758012286,1,0,FALSE,,
275,1,0,0,10.31524358,1,5,0.740915232,1,5,FALSE,,
280,1,2,0.027777778,10.95105297,0,2,0.807777478,0,2,FALSE,,
285,1,0,0,11.20750087,1,5,0.826481841,1,5,FALSE,,
290,1,0,0,11.36962201,1,5,0.833574982,1,5,FALSE,,
295,0,0,0,11.50180954,0,5,0.830826856,0,5,FALSE,,
300,1,0,0,11.01210676,1,1,0.805553495,1,1,FALSE,,
305,2,1,0.013513514,10.8833493,1,1,0.794052124,1,1,FALSE,,
310,0,0,0,11.6260602,0,1,0.821411672,0,1,FALSE,,
315,1,0,0,11.55802314,1,1,0.803768956,1,1,FALSE,,
320,2,3,0.041666667,10.71901305,1,0,0.768769185,1,0,FALSE,,
325,2,1,0.01369863,11.26093436,2,5,0.790516842,2,5,FALSE,,
330,1,0,0,11.25720458,1,3,0.808034975,1,3,FALSE,,
335,1,0,0,11.60154324,1,0,0.815190584,1,0,FALSE,,
340,1,0,0,11.89920206,1,0,0.850580057,1,0,FALSE,,
345,0,0,0,11.76470133,0,0,0.824802146,0,0,FALSE,,
350,2,3,0.040540541,11.05855031,1,2,0.823226348,1,2,FALSE,,
355,2,0,0,10.97070061,2,2,0.78956145,2,2,FALSE,,
360,1,1,0.014084507,11.72126942,0,9,0.854520851,0,9,FALSE,,
365,1,0,0,11.59102332,1,9,0.841853367,1,9,FALSE,,
370,2,1,0.014492754,11.26762783,1,2,0.795513074,1,2,FALSE,,
375,1,3,0.042857143,11.06165718,1,6,0.793663163,1,6,FALSE,,
380,1,0,0,11.2451518,1,2,0.800897007,1,2,FALSE,,
385,1,0,0,11.66519428,1,6,0.82839544,1,6,FALSE,,
390,0,0,0,12.03363036,0,5,0.86379196,0,5,FALSE,,
395,2,0,0,11.41788827,2,0,0.813617676,2,0,FALSE,,
400,2,0,0,10.91080154,2,0,0.791882109,2,0,FALSE,,
405,1,1,0.014084507,11.10851365,0,0,0.787982153,0,0,FALSE,,
410,1,0,0,10.74565236,1,3,0.791544597,1,3,FALSE,,
415,1,0,0,11.4883502,1,3,0.822929451,1,3,FALSE,,
420,1,4,0.054794521,11.28769685,1,7,0.797134941,1,7,FALSE,,
425,1,0,0,11.04412599,1,1,0.785447273,1,1,FALSE,,
430,0,0,0,11.44716091,0,1,0.828328299,0,1,FALSE,,
435,0,0,0,11.32708597,0,0,0.810057206,0,0,FALSE,,
440,2,0,0,10.99937585,2,3,0.734506775,2,3,FALSE,,
445,0,0,0,11.88713996,0,2,0.830809954,0,2,FALSE,,
450,0,0,0,11.29830104,0,2,0.818951106,0,2,FALSE,,
455,2,0,0,11.43010636,2,0,0.809872104,2,0,FALSE,,
460,1,0,0,11.43469349,1,2,0.806910196,1,2,FALSE,,
465,1,0,0,11.79830686,1,2,0.828557199,1,2,FALSE,,
470,3,1,0.014705882,11.05296315,2,0,0.768417277,2,0,FALSE,,
475,0,0,0,11.55730715,0,3,0.843102324,0,3,FALSE,,
480,0,0,0,11.42756401,0,0,0.797499571,0,0,FALSE,,
485,2,0,0,11.1623342,2,0,0.782447955,2,0,FALSE,,
490,0,0,0,11.32783855,0,0,0.793902036,0,0,FALSE,,
495,1,1,0.014705882,11.06076736,0,0,0.804846863,0,0,FALSE,,
500,3,0,0,11.05514935,3,4,0.777523934,3,4,FALSE,,
505,0,0,0,11.78196368,0,3,0.870894912,0,3,FALSE,,
510,2,3,0.040540541,11.19179999,1,1,0.826688557,1,1,FALSE,,
515,3,0,0,11.30054865,3,4,0.812846343,3,4,FALSE,,
520,0,0,0,11.10414811,0,4,0.794286981,0,4,FALSE,,
525,0,0,0,10.48417498,0,0,0.767367161,0,0,FALSE,,
530,3,1,0.013513514,10.42979238,2,2,0.76015981,2,2,FALSE,,
535,0,0,0,10.37853249,0,3,0.800099594,0,3,FALSE,,
540,0,0,0,10.96965851,0,6,0.789197154,0,6,FALSE,,
545,2,0,0,11.47781457,2,5,0.84007295,2,5,FALSE,,
550,1,0,0,10.84755297,1,0,0.795223078,1,0,FALSE,,
555,1,3,0.04109589,10.34776587,0,2,0.800195371,0,2,FALSE,,
560,2,0,0,10.84053196,2,5,0.79779566,2,5,FALSE,,
565,1,0,0,11.04476147,1,6,0.8166516,1,6,FALSE,,
570,1,0,0,10.68154296,1,5,0.758936921,1,5,FALSE,,
575,1,0,0,11.30794368,1,2,0.807699663,1,2,FALSE,,
580,1,0,0,11.2401798,1,1,0.828021843,1,1,FALSE,,
585,1,0,0,10.82611659,1,2,0.790077006,1,2,FALSE,,
590,2,0,0,11.51365195,2,2,0.835581251,2,2,FALSE,,
595,0,0,0,11.52657004,0,0,0.816200889,0,0,FALSE,,
600,2,0,0,10.79611663,2,0,0.781595961,2,0,FALSE,,
605,1,0,0,10.71715115,1,2,0.784285716,1,2,FALSE,,
610,1,0,0,11.19866319,1,2,0.819594562,1,2,FALSE,,
615,2,2,0.02739726,11.13511773,1,2,0.83088874,1,2,FALSE,,
620,1,0,0,10.91002452,1,2,0.811923432,1,2,FALSE,,
625,1,0,0,11.23270745,1,2,0.797908445,1,2,FALSE,,
630,1,0,0,11.44836808,1,2,0.812874562,1,2,FALSE,,
635,0,0,0,11.31743774,0,0,0.820543843,0,0,FALSE,,
640,0,0,0,11.31955975,0,2,0.821365008,0,2,FALSE,,
645,1,0,0,11.72855743,1,2,0.81914006,1,2,FALSE,,
650,1,0,0,11.70152329,1,0,0.833779662,1,0,FALSE,,
655,0,0,0,11.37382358,0,0,0.845825298,0,0,FALSE,,
660,2,0,0,11.08758454,2,1,0.792458682,2,1,FALSE,,
665,1,0,0,11.63913373,1,1,0.843099808,1,1,FALSE,,
670,0,0,0,11.62595521,0,0,0.818393979,0,0,FALSE,,
675,1,0,0,11.70757588,1,0,0.823459159,1,0,FALSE,,
680,1,0,0,11.31991661,1,0,0.806339508,1,0,FALSE,,
685,0,0,0,11.0876669,0,0,0.802142148,0,0,FALSE,,
690,2,0,0,11.28556408,2,0,0.791653257,2,0,FALSE,,
695,1,0,0,11.66708119,1,0,0.823095584,1,0,FALSE,,
